,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
99,016360,KR7016360000,삼성증권,KOSPI,,35750,1,550,1.56,35650,36050,35600,244448,8751801350,3192475000000,89300000,STK
100,112610,KR7112610001,씨에스윈드,KOSPI,,75600,2,-900,-1.18,77300,77500,75300,204099,15523468700,3188158066800,42171403,STK
101,007070,KR7007070006,GS리테일,KOSPI,,29500,2,-300,-1.01,29850,30100,29400,105897,3148232000,3089178699000,104717922,STK
102,003410,KR7003410008,쌍용C&E,KOSPI,,6070,1,100,1.68,5970,6070,5970,482416,2913411080,3058427741650,503859595,STK
103,307950,KR7307950006,현대오토에버,KOSPI,,111000,3,0,0.0,112000,112500,110500,26084,2898149500,3044062002000,27423982,STK
104,005387,KR7005382007,현대차2우B,KOSPI,,82100,2,-100,-0.12,82800,83100,82000,62382,5151346400,2995455527100,36485451,STK
105,047050,KR7047050000,포스코인터내셔널,KOSPI,,23750,2,-250,-1.04,24400,24450,23700,427145,10249981900,2930159788750,123375149,STK
106,020150,KR7020150009,일진머티리얼즈,KOSPI,,63300,1,1400,2.26,62900,63500,62100,263909,16581348500,2918815855500,46110835,STK
107,008770,KR7008770000,호텔신라,KOSPI,,74200,1,1200,1.64,73600,74900,73000,323573,24007903200,2912210578200,39248121,STK
108,028670,KR7028670008,팬오션,KOSPI,,5420,1,30,0.56,5470,5480,5260,2655580,14299276470,2897366755040,534569512,STK
109,263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,44850,1,1350,3.1,44500,45200,44250,274645,12328407600,2880978096750,64235855,KSQ
110,030000,KR7030000004,제일기획,KOSPI,,24100,2,-150,-0.62,24550,24600,24000,279576,6767866600,2772493522500,115041225,STK
111,180640,KR7180640005,한진칼,KOSPI,,40850,1,200,0.49,40600,40950,40350,60495,2462074350,2727219366600,66761796,STK
112,001450,KR7001450006,현대해상,KOSPI,,30250,1,50,0.17,30350,30350,29950,433225,13055708800,2704350000000,89400000,STK
113,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,176800,1,5300,3.09,176400,177900,175600,65726,11626806600,2694851016000,15242370,KSQ
114,139480,KR7139480008,이마트,KOSPI,,93200,1,1100,1.19,92900,93900,92700,78390,7308135100,2598026330800,27875819,STK
115,002790,KR7002790004,아모레G,KOSPI,,31300,2,-350,-1.11,32650,32950,30800,1009045,32244022350,2580941034000,82458180,STK
116,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,67500,1,1000,1.5,68200,69200,67400,101387,6941544000,2544883245000,37701974,KSQ
117,051915,KR7051911006,LG화학우,KOSPI,,325500,2,-9500,-2.84,337000,339500,325500,18631,6146225016,2502704400000,7688800,STK
118,278280,KR7278280003,천보,KOSDAQ GLOBAL,우량기업부,247200,1,6200,2.57,246800,251000,244200,63907,15813751500,2472000000000,10000000,KSQ
119,039490,KR7039490008,키움증권,KOSPI,,94000,1,2000,2.17,93400,95000,93000,95360,8962581600,2464634222000,26219513,STK
120,012750,KR7012750006,에스원,KOSPI,,64100,2,-100,-0.16,64300,64800,63600,69455,4445460000,2435747309800,37999178,STK
121,138930,KR7138930003,BNK금융지주,KOSPI,,7440,1,50,0.68,7440,7460,7390,1448328,10750492670,2424958230240,325935246,STK
122,014680,KR7014680003,한솔케미칼,KOSPI,,211000,1,1000,0.48,213000,214000,208000,77890,16413179568,2391726145000,11335195,STK
123,023530,KR7023530009,롯데쇼핑,KOSPI,,84400,2,-100,-0.12,85200,85800,84300,72503,6157908200,2387570922000,28288755,STK
124,006040,KR7006040000,동원산업,KOSPI,,46850,2,-200,-0.43,47300,47500,46700,45007,2115965950,2341687855250,49982665,STK
125,052690,KR7052690005,한전기술,KOSPI,,61000,1,400,0.66,61400,62300,60800,181024,11132541500,2331420000000,38220000,STK
126,006260,KR7006260004,LS,KOSPI,,72300,2,-2900,-3.86,75800,75800,71800,194392,14162943100,2328060000000,32200000,STK
127,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,64600,1,4000,6.6,61500,65400,61400,845909,54001258800,2293137983200,35497492,KSQ
128,010060,KR7010060002,OCI,KOSPI,,95600,1,500,0.53,96400,97400,95200,323366,31060830100,2279999867600,23849371,STK
129,204320,KR7204320006,HL만도,KOSPI,,48500,1,500,1.04,48800,49250,48150,243614,11857667050,2277420320000,46957120,STK
130,253450,KR7253450001,스튜디오드래곤,KOSDAQ,우량기업부,75500,1,3000,4.14,73600,76700,73600,225926,17025226200,2266070967500,30014185,KSQ
131,001040,KR7001040005,CJ,KOSPI,,77600,1,900,1.17,76900,78100,76800,40724,3165001004,2264135044800,29176998,STK
132,336260,KR7336260005,두산퓨얼셀,KOSPI,,34150,1,550,1.64,34250,34600,33850,366193,12520231850,2236610742900,65493726,STK
133,272210,KR7272210006,한화시스템,KOSPI,,11650,1,150,1.3,11600,11750,11550,437961,5086225850,2200910881850,188919389,STK
134,000880,KR7000880005,한화,KOSPI,,29150,1,100,0.34,29150,29250,28900,153945,4477420350,2185047125250,74958735,STK
135,008930,KR7008930000,한미사이언스,KOSPI,,31700,1,300,0.96,31650,32200,31500,59082,1878035750,2175370782800,68623684,STK
136,026960,KR7026960005,동서,KOSPI,,21800,1,400,1.87,21500,21900,21500,35066,761857650,2173460000000,99700000,STK
137,002380,KR7002380004,KCC,KOSPI,,241000,1,2500,1.05,241000,242000,239000,70221,16881042500,2141639511000,8886471,STK
138,088350,KR7088350004,한화생명,KOSPI,,2460,2,-55,-2.19,2510,2520,2460,1816869,4508423090,2136583800000,868530000,STK
139,006360,KR7006360002,GS건설,KOSPI,,24900,1,1500,6.41,24000,25850,23950,3529724,88517411650,2130979101000,85581490,STK
140,111770,KR7111770004,영원무역,KOSPI,,47750,1,250,0.53,47900,48200,47450,76745,3668228050,2115872597000,44311468,STK
141,001440,KR7001440007,대한전선,KOSPI,,1695,1,5,0.3,1715,1740,1690,7170802,12241077490,2109381750255,1244473009,STK
142,004170,KR7004170007,신세계,KOSPI,,213000,1,2500,1.19,212500,216000,211500,87477,18651638000,2097023553000,9845181,STK
143,047040,KR7047040001,대우건설,KOSPI,,5030,2,-60,-1.18,5140,5160,5010,1737607,8820181990,2090581869140,415622638,STK
144,042660,KR7042660001,대우조선해양,KOSPI,,19150,1,50,0.26,19300,19550,19100,227058,4384517900,2054616311350,107290669,STK
145,000120,KR7000120006,CJ대한통운,KOSPI,,89900,1,1500,1.7,89500,92700,89500,172695,15660715600,2050829725600,22812344,STK
146,017390,KR7017390006,서울가스,KOSPI,,410000,1,1500,0.37,409000,413000,407000,11464,4695117000,2050000000000,5000000,STK
147,000990,KR7000990002,DB하이텍,KOSPI,,46050,1,1450,3.25,45800,46250,45500,649362,29806410050,2044554977400,44398588,STK
